type,date,num1,num2,num3,num4,num5,num6,download_time
Powerball,2011-11-23,30,35,57,4,59,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-26,55,20,37,45,39,28,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-30,47,6,2,34,35,22,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-03,18,5,33,43,45,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-07,39,20,14,40,3,37,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-10,33,41,4,19,59,9,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-14,46,52,24,56,2,19,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-17,59,28,51,13,49,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-21,31,15,13,54,10,18,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-24,52,51,16,14,30,19,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-28,16,27,45,41,21,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-31,5,25,40,23,28,34,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-04,50,35,21,47,46,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-07,3,24,38,21,39,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-11,47,5,29,45,19,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-14,41,30,10,36,38,1,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-18,50,34,29,6,44,28,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-21,44,12,43,24,45,7,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-25,28,19,29,47,4,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-28,41,54,59,33,5,13,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-01,8,13,59,17,34,35,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-04,23,56,43,45,15,7,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-08,38,51,17,28,39,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-11,37,52,10,1,57,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-15,12,11,32,56,52,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-18,23,50,28,59,56,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-22,17,39,16,7,51,32,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-25,54,11,6,42,53,7,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-29,26,1,11,4,23,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-03,47,30,29,49,45,35,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-07,45,35,47,46,12,12,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-10,5,41,20,14,17,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-14,1,8,59,46,41,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-17,11,55,58,14,49,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-21,32,43,53,55,56,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-24,15,37,35,1,47,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-28,50,58,16,29,11,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-31,14,5,58,54,36,27,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-04-04,33,24,49,45,1,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-04-07,13,30,5,20,17,18,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-04-11,44,42,16,47,23,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-04-14,15,16,19,14,24,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-04-18,22,39,49,46,20,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-04-21,8,42,51,20,6,16,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-04-25,29,43,25,4,34,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-04-28,57,40,58,31,39,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-05-02,7,33,50,38,8,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-05-05,12,59,44,20,9,23,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-05-09,56,7,1,11,55,1,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-05-12,35,24,58,53,10,22,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-05-16,21,43,28,3,7,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-05-19,46,13,8,51,35,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-05-23,59,7,53,26,4,32,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-05-26,49,59,13,41,14,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-05-30,10,56,9,24,52,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-06-02,17,45,10,29,9,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-06-06,59,48,19,33,30,27,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-06-09,56,45,57,22,18,27,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-06-13,14,57,33,10,7,18,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-06-16,14,16,27,15,8,26,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-06-20,17,11,29,56,57,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-06-23,44,1,53,3,41,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-06-27,58,34,6,46,40,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-06-30,20,7,15,41,44,22,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-07-04,35,19,14,39,56,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-07-07,5,3,29,59,39,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-07-11,5,36,49,55,22,23,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-07-14,4,46,16,37,32,13,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-07-18,5,2,57,23,20,3,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-07-21,9,54,38,56,31,20,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-07-25,14,3,46,38,35,16,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-07-28,6,50,5,36,13,13,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-08-01,58,3,56,48,16,4,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-08-04,55,30,53,48,19,18,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-08-08,7,15,3,11,28,12,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-08-11,51,13,46,39,4,1,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-08-15,56,27,46,6,51,21,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-08-18,55,41,26,14,59,1,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-08-22,47,31,22,29,55,19,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-08-25,7,20,6,1,49,23,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-08-29,49,54,28,25,56,28,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-09-01,8,44,21,11,49,22,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-09-05,42,4,26,51,19,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-09-08,34,44,20,48,6,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-09-12,48,56,24,36,33,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-09-15,43,26,3,20,48,1,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-09-19,50,1,8,39,5,23,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-09-22,40,42,18,16,2,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-09-26,41,26,42,13,39,10,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-09-29,57,14,29,18,28,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-10-03,55,23,17,59,36,10,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-10-06,36,59,26,15,34,35,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-10-10,35,18,43,29,26,28,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-10-13,5,2,26,25,49,18,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-10-17,42,23,10,7,1,35,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-10-20,4,28,31,44,21,10,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-10-24,18,50,23,3,21,4,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-10-27,34,56,36,32,22,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-10-31,45,31,1,48,27,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-11-03,54,4,7,9,30,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-11-07,32,45,34,52,58,20,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-11-10,55,32,50,54,42,32,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-11-14,44,10,58,8,30,13,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-11-17,15,59,27,58,3,20,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-11-21,24,30,8,18,39,26,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-11-24,22,32,37,44,50,34,"2024-11-16, 11:54:38 PM CST"
